,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Respiratory Diseases ,Respiratory disease Dummy
324681,21,19,17,"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,16-Jun-03,Parts per billion,8.782609,16,23,15,Parts per million,0.02575,0.037,11,31,Parts per billion,1.304348,9,9,13,Parts per million,0.078261,0.2,6,,0,No
29521,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,24-Nov-00,Parts per billion,4.782609,9,9,8,Parts per million,0.03865,0.043,13,36,Parts per billion,0.434783,3,8,4,Parts per million,0.166667,0.2,0,2,0,No
339208,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,16-Jul-03,Parts per billion,11.958333,24,23,23,Parts per million,0.032333,0.057,11,48,Parts per billion,1.47619,10,23,14,Parts per million,0.479167,0.6,0,7,0,No
468863,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,01-May-05,Parts per billion,24.421053,45,19,42,Parts per million,0.013882,0.028,12,24,Parts per billion,2.368421,3,2,4,Parts per million,0.636842,1.1,7,,0,No
2495,4,19,1011,"1237 S. BEVERLY , TUCSON",Arizona,Pima,Tucson,17-Apr-00,Parts per billion,18.727273,44,20,42,Parts per million,0.026292,0.048,11,41,Parts per billion,3.05,7,23,,Parts per million,0.508333,1,2,11,0,No
294365,6,59,1003,"2850 MESA VERDE DR EAST, COSTA MESA",California,Orange,Costa Mesa,29-Nov-03,Parts per billion,38.478261,57,15,54,Parts per million,0.008333,0.017,10,14,Parts per billion,3.217391,5,11,7,Parts per million,1.713043,2.9,0,,0,No
167463,42,21,11,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,30-Jun-01,Parts per billion,9.708333,24,23,23,Parts per million,0.028708,0.058,10,49,Parts per billion,7.35,13.6,20,,Parts per million,0.491667,0.8,21,,0,No
379071,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,17-Apr-04,Parts per billion,6.347826,17,0,16,Parts per million,0.028958,0.04,9,34,Parts per billion,4,4,2,,Parts per million,0.420833,0.5,2,6,0,No
214295,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,04-Mar-02,Parts per billion,1.652174,3,4,3,Parts per million,0.041375,0.046,8,39,Parts per billion,0,0,0,0,Parts per million,0.173913,0.2,0,,0,No
389797,6,75,6,"100 WHITNEY YOUNG CIRCLE, SAN FRANCISCO",California,San Francisco,San Francisco,29-Dec-04,Parts per billion,12.954545,32,0,30,Parts per million,0.026208,0.039,20,33,Parts per billion,0.076923,1,11,1,Parts per million,0.0875,0.2,0,2,0,No
83446,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,31-Dec-00,Parts per billion,13.761905,22,0,21,Parts per million,0.016474,0.019,16,16,Parts per billion,2.233333,5.6,11,,Parts per million,0.25,0.3,0,,0,No
506920,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,26-May-05,Parts per billion,20.352941,40,22,38,Parts per million,0.029458,0.056,11,47,Parts per billion,0.666667,3,7,4,Parts per million,0.175,0.7,20,,0,No
205394,6,67,6,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,18-Jan-02,Parts per billion,18.695652,34,18,32,Parts per million,0.019542,0.032,9,27,Parts per billion,0.328571,1,2,,Parts per million,1.245833,2.2,8,25,0,No
365955,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,16-Dec-04,Parts per billion,18.043478,34,18,32,Parts per million,0.003542,0.011,10,9,Parts per billion,1.181818,2,0,3,Parts per million,0.682609,1.4,0,,0,No
126599,6,83,2011,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,09-Jul-01,Parts per billion,6.086957,11,11,10,Parts per million,0.035143,0.042,12,36,Parts per billion,0.042857,0.3,5,,Parts per million,0.278261,0.4,19,,0,No
11593,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,19-Aug-00,Parts per billion,40,60,7,57,Parts per million,0.029792,0.07,10,84,Parts per billion,0,0,2,,Parts per million,1.079167,1.7,7,19,0,No
477716,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,10-May-05,Parts per billion,14.428571,30,6,28,Parts per million,0.024458,0.047,10,40,Parts per billion,1,1,5,,Parts per million,0.3875,0.8,10,9,0,No
343131,42,7,14,EIGHT STREET AND RIVER ALLEY,Pennsylvania,Beaver,Beaver Falls,10-Jan-03,Parts per billion,10.083333,20,21,19,Parts per million,0.019292,0.031,9,26,Parts per billion,2.357143,7.6,8,,Parts per million,0.234783,0.4,6,,0,No
512859,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,20-Jun-05,Parts per billion,13.25,25,2,24,Parts per million,0.023917,0.045,11,38,Parts per billion,3.3,3.3,2,,Parts per million,0.045833,0.1,2,1,0,No
268833,42,133,8,HILL ST.,Pennsylvania,York,York,08-May-02,Parts per billion,17,32,7,30,Parts per million,0.047333,0.066,10,71,Parts per billion,5.65,10,14,,Parts per million,0.2875,0.5,6,,0,No
350713,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,18-Sep-03,Parts per billion,7.791667,18,1,17,Parts per million,0.027833,0.035,13,30,Parts per billion,2.291667,9,8,13,Parts per million,0.525,0.7,0,,0,No
500789,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,06-Jul-05,Parts per billion,12.291667,22,5,21,Parts per million,0.038958,0.057,11,48,Parts per billion,2.7625,4.3,2,,Parts per million,0.55,0.9,5,,0,No
268191,42,129,8,DONOHOE ROAD - PENN DOT MAINT DIST BLDG,Pennsylvania,Westmoreland,Greensburg,27-Sep-02,Parts per billion,9.708333,16,14,15,Parts per million,0.009708,0.017,21,14,Parts per billion,0,0,2,,Parts per million,0,0,0,,0,No
127169,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,22-Mar-01,Parts per billion,0,0,19,0,Parts per million,0.030792,0.035,7,30,Parts per billion,0.130435,1,20,1,Parts per million,0.117391,0.2,0,,0,No
350320,42,95,25,WASHINGTON & CAMBRIA STS. FREEMANSBURG,Pennsylvania,Northampton,Freemansburg,06-Sep-03,Parts per billion,7.090909,16,21,15,Parts per million,0.043125,0.054,10,46,Parts per billion,0.8625,4.6,20,,Parts per million,0,0,0,0,0,No
51904,21,101,13,NORTH GREEN STREET,Kentucky,Henderson,Henderson,28-Mar-00,Parts per billion,6.695652,29,22,27,Parts per million,0.020917,0.033,0,28,Parts per billion,0.871429,1.6,20,,Parts per million,0,0,0,,0,No
49918,21,19,15,32ND & RAILROAD STS.,Kentucky,Boyd,Ashland,29-Sep-00,Parts per billion,13.869565,31,20,29,Parts per million,0.015417,0.035,11,30,Parts per billion,8.173913,29,14,41,Parts per million,0.104348,0.5,6,,0,No
439418,48,141,37,250 Rim Rd,Texas,El Paso,El Paso,21-Apr-04,Parts per billion,16,25,3,24,Parts per million,0.042125,0.055,12,47,Parts per billion,0,0,2,,Parts per million,0.204167,0.3,13,3,0,No
259563,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,06-Dec-02,Parts per billion,17.083333,38,19,36,Parts per million,0.03675,0.067,9,74,Parts per billion,10.083333,25,7,36,Parts per million,0.070833,0.5,19,,0,No
303643,6,73,2007,"1100 PASEO INTERNATIONAL, OTAY MESA, CA",California,San Diego,San Diego,12-May-03,Parts per billion,49.652174,72,9,70,Parts per million,0.005208,0.013,8,11,Parts per billion,2.086957,8,8,11,Parts per million,1.891304,3.9,8,,0,No
167477,42,21,11,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,07-Apr-01,Parts per billion,7.166667,19,21,18,Parts per million,0.033708,0.049,7,42,Parts per billion,7.208333,22,10,31,Parts per million,0.3875,0.6,21,,0,No
252607,37,67,22,1300 BLK. HATTIE AVENUE,North Carolina,Forsyth,Winston-Salem,30-Aug-02,Parts per billion,4.375,10,18,9,Parts per million,0.019625,0.023,9,19,Parts per billion,1.041667,2,19,3,Parts per million,0.395652,0.5,6,,0,No
345949,42,21,11,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,05-Aug-03,Parts per billion,10.958333,21,19,20,Parts per million,0.028667,0.05,9,42,Parts per billion,4.325,7.6,17,,Parts per million,0.475,0.7,7,,0,No
56829,29,189,4,"Sunset Hills: 4580 South Lindbergh & Gravios, Sunset Hills, MO 63126",Missouri,Saint Louis,Sunset Hills,25-Apr-00,Parts per billion,23.125,56,22,53,Parts per million,0.024542,0.051,11,43,Parts per billion,6.9625,12.6,11,,Parts per million,0.3375,0.6,22,7,0,No
204157,6,67,2,"7823 BLACKFOOT WAY, NORTH HIGHLANDS",California,Sacramento,Not in a city,01-Jan-02,Parts per billion,13.434783,19,12,18,Parts per million,0.005542,0.016,22,14,Parts per billion,1.26087,3,4,4,Parts per million,0.713043,1.5,7,,0,No
452004,6,13,1004,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,23-Jan-05,Parts per billion,17.086957,24,17,23,Parts per million,0.006,0.016,9,14,Parts per billion,2.5,5,21,7,Parts per million,0.420833,0.6,23,7,0,No
